id,num_casualties,num_fatal,num_serious,num_slight,aadt_total,casualties_per_aadt
osgb4000000030348987,,,,,12087,
osgb4000000030418709,,,,,7753,
osgb4000000030238907,,,,,9023,
osgb4000000030479773,,,,,6572,
osgb4000000031237733,,,,,8495,
osgb4000000030462868,,,,,6010,
osgb4000000030458907,,,,,19320,
osgb4000000030342809,,,,,19128,
osgb4000000030329748,,,,,10546,
osgb4000000030407866,,,,,31630,
osgb4000000031195834,,,,,11029,
osgb4000000030217383,,,,,24435,
osgb4000000030147016,,,,,2703,
osgb4000000030099866,,,,,11680,
osgb4000000031056187,,,,,5205,
osgb4000000030343740,,,,,8037,
osgb4000000030324482,,,,,8355,
osgb4000000030407759,,,,,6338,
osgb4000000030330037,,,,,8832,
osgb4000000031077148,,,,,15947,
osgb4000000030322975,,,,,33005,
osgb4000000030823035,,,,,12374,
osgb4000000030406575,,,,,11317,
osgb4000000030134591,,,,,17833,
osgb4000000030215193,,,,,26905,
osgb4000000030135014,,,,,3688,
osgb4000000030453214,,,,,82209,
osgb4000000030407447,,,,,16638,
osgb4000000031108447,,,,,16004,
osgb4000000030138435,,,,,26234,
osgb4000000030452860,,,,,20361,
osgb4000000030236143,,,,,11131,
osgb4000000030238265,,,,,8355,
osgb4000000030147124,,,,,14539,
osgb4000000030341448,,,,,23813,
osgb4000000030341469,,,,,14296,
osgb4000000031231076,,,,,23813,
osgb4000000030348989,,,,,12167,
osgb4000000030355442,,,,,11785,
osgb4000000030251377,,,,,15542,
osgb4000000030357265,,,,,12124,
osgb4000000031008219,,,,,17437,
osgb4000000031045994,,,,,14533,
osgb4000000030320475,,,,,11206,
osgb4000000030406040,,,,,22010,
osgb4000000030452943,,,,,6475,
osgb4000000030214968,,,,,8828,
osgb4000000030134398,,,,,18497,
osgb4000000030328761,,,,,18551,
osgb4000000030235390,,,,,8482,
osgb4000000030340015,,,,,9137,
osgb4000000030237550,,,,,2966,
osgb4000000030417798,,,,,11278,
osgb4000000030657982,,,,,23432,
osgb4000000030346479,,,,,28467,
osgb4000000030148513,,,,,6664,
osgb4000000030355874,,,,,11186,
osgb4000000031065247,,,,,10684,
osgb4000000031008233,,,,,10289,
osgb4000000031273584,,,,,9314,
osgb4000000030323219,,,,,22428,
osgb4000000030407333,,,,,17793,
osgb4000000030410505,,,,,11676,
osgb4000000030330252,,,,,8491,
osgb4000000030237575,,,,,5922,
osgb4000000031199606,,,,,5401,
osgb4000000030419657,,,,,4214,
osgb4000000030419923,,,,,5394,
osgb4000000031275333,,,,,4960,
osgb4000000031051363,,,,,15777,
osgb4000000031051364,,,,,15318,
osgb4000000031231434,,,,,14320,
osgb4000000031005410,,,,,8324,
osgb4000000030357060,,,,,19634,
osgb4000000030463224,,,,,15721,
osgb4000000030253089,,,,,18658,
osgb4000000031054794,,,,,13738,
osgb4000000030256030,,,,,6427,
osgb4000000030323019,,,,,10934,
osgb4000000030324169,,,,,5031,
osgb4000000030329217,,,,,5795,
osgb4000000030701276,,,,,10765,
osgb4000000031232669,,,,,10771,
osgb4000000030223739,,,,,10699,
osgb4000000030417453,,,,,22460,
osgb4000000030237101,,,,,4266,
osgb4000000030239252,,,,,13475,
osgb4000000030426117,,,,,3109,
osgb4000000030252971,,,,,22809,
osgb4000000030426556,,,,,14492,
osgb4000000030251424,,,,,5068,
osgb4000000030990387,,,,,10754,
osgb4000000030985993,,,,,18489,
osgb4000000031199593,,,,,7424,
osgb4000000030458813,,,,,7096,
osgb4000000030341180,,,,,13304,
osgb4000000030420476,,,,,5656,
osgb4000000030346751,,,,,7254,
osgb4000000031208205,,,,,14858,
osgb4000000030345482,,,,,31329,
osgb4000000030426032,,,,,7250,
osgb4000000030426278,,,,,10448,
osgb4000000030322617,,,,,18926,
osgb4000000030463223,,,,,20771,
osgb4000000030155571,,,,,18580,
osgb4000000030146872,,,,,13969,
osgb4000000030407442,,,,,8933,
osgb4000000030324767,,,,,20386,
osgb4000000030340270,,,,,9168,
osgb4000000030342139,,,,,11278,
osgb4000000030251676,,,,,4865,
osgb4000000030459610,,,,,8572,
osgb4000000030238584,,,,,7990,
osgb4000000030701682,,,,,16118,
osgb4000000031026950,,,,,8101,
osgb4000000030324486,,,,,3177,
osgb4000000031056213,,,,,6186,
osgb4000000031063338,,,,,3816,
osgb4000000030346003,,,,,5398,
osgb4000000030320494,,,,,3452,
osgb4000000030453230,,,,,35519,
osgb4000000030323051,,,,,12295,
osgb4000000031038493,,,,,5668,
osgb4000000030425581,,,,,9617,
osgb4000000030250974,,,,,9617,
osgb4000000031231441,,,,,14061,
osgb4000000030463058,,,,,6455,
osgb4000000030250777,,,,,2082,
osgb4000000030360295,,,,,3035,
osgb4000000030256111,,,,,6715,
osgb4000000030473338,,,,,9146,
osgb4000000030455061,,,,,4602,
osgb4000000030329090,,,,,5785,
osgb4000000030340394,,,,,10969,
osgb4000000030417322,,,,,12556,
osgb4000000030237184,,,,,8161,
osgb4000000030462646,,,,,4459,
osgb4000000030702024,,,,,3841,
osgb4000000030420823,,,,,10436,
osgb4000000030425881,,,,,3084,
osgb4000000030214835,,,,,7261,
osgb4000000030329339,,,,,5668,
osgb4000000030455078,,,,,4979,
osgb4000000031077179,,,,,13724,
osgb4000000030341687,,,,,15917,
osgb4000000030420789,,,,,14056,
osgb4000000030420799,,,,,1475,
osgb4000000030323714,,,,,4039,
osgb4000000030324130,,,,,8946,
osgb4000000030216720,,,,,7962,
osgb4000000030345904,,,,,869,
osgb4000000030990525,,,,,23787,
osgb4000000031044427,,,,,3797,
osgb4000000030359670,,,,,9479,
osgb4000000030341377,,,,,14806,
osgb4000000030147903,,,,,3495,
osgb4000000030357799,,,,,12864,
osgb4000000030223440,,,,,10095,
osgb4000000030473625,,,,,16506,
osgb4000000031158737,,,,,14397,
osgb4000000030815019,,,,,3829,
osgb4000000030342306,,,,,6653,
osgb4000000031063878,,,,,7419,
osgb4000000030342660,,,,,9438,
osgb4000000030418096,,,,,3375,
osgb4000000030238773,,,,,10980,
osgb4000000030214683,,,,,4862,
osgb4000000030213986,,,,,979,
osgb4000000030329447,,,,,8826,
osgb4000000030331197,,,,,4394,
osgb4000000030345136,,,,,985,
osgb4000000030952509,,,,,1070,
osgb4000000030241744,,,,,2426,
osgb4000000030983825,,,,,964,
osgb4000000030215287,,,,,4299,
osgb4000000030474192,,,,,1107,
osgb4000000030236174,,,,,938,
osgb4000000030238373,,,,,2060,
osgb4000000030345105,,,,,2267,
osgb4000000030148521,,,,,6040,
osgb4000000030885786,,,,,7313,
osgb4000000030101686,,,,,4786,
osgb4000000031091162,,,,,8043,
osgb4000000030323319,,,,,8282,
osgb4000000031063719,,,,,564,
osgb4000000030138662,,,,,4368,
osgb4000000030225385,,,,,1035,
osgb4000000031068661,,,,,245,
osgb4000000030237077,,,,,598,
osgb4000000030146837,,,,,276,
osgb4000000031270647,,,,,5592,
osgb4000000031248224,,,,,7303,
osgb4000000030216044,,,,,8281,
osgb4000000030223009,,,,,4850,
osgb4000000030341950,,,,,2439,
osgb4000000030343051,,,,,545,
osgb4000000030146168,,,,,5163,
osgb4000000030406624,,,,,5420,
osgb4000000030235636,,,,,2204,
osgb4000000030145904,,,,,2204,
osgb4000000030101819,,,,,2592,
osgb4000000030411850,,,,,7713,
osgb4000000031268420,,,,,1649,
osgb4000000030238549,,,,,4984,
osgb4000000030702303,,,,,3939,
osgb4000000030411131,,,,,7869,
osgb4000000030455135,,,,,12179,
osgb4000000030146102,,,,,113,
osgb5000005129237130,,,,,2718,
osgb4000000030357209,,,,,6999,
osgb4000000030133953,,,,,20605,
osgb4000000030215680,,,,,9004,
osgb4000000030328803,,,,,8269,
osgb4000000030702158,,,,,5326,
osgb4000000030138958,,,,,1761,
osgb4000000030330301,,,,,7466,
osgb4000000031163818,,,,,431,
osgb4000000030099882,,,,,9888,
osgb4000000030153230,,,,,3064,
